true,pred,probs,n_preds,entropy,alleotoric_entropy,info_gain
29,29,0.9999916,1,0.0001223161,0.00011016999,1.2146105e-05
27,27,0.79363334,2,0.6160939,0.17002177,0.4460721
13,13,0.5995864,2,0.68922305,0.27051717,0.41870588
24,24,0.9940159,1,0.043587856,0.03576988,0.007817976
4,4,0.80103225,2,0.6083088,0.3481847,0.2601241
2,17,0.1868969,4,2.5978827,2.2995753,0.29830742
3,3,0.9237857,1,0.38701734,0.25844648,0.12857085
4,4,0.9994305,1,0.005338437,0.0042659324,0.0010725046
24,24,0.93998593,1,0.27111682,0.15400988,0.117106944
36,36,0.40036798,4,1.4662945,0.4676578,0.9986367
24,24,0.999585,1,0.0038767061,0.0031580324,0.0007186737
24,24,0.9991342,1,0.0076676197,0.0061202245,0.0015473953
4,4,0.99991435,1,0.0010064765,0.0008619139,0.00014456257
25,24,0.99568576,1,0.037845545,0.03043293,0.0074126143
3,3,0.7742597,1,1.052676,0.7620498,0.29062617
21,21,0.62198097,2,0.8958223,0.3889168,0.5069055
8,4,0.9912513,1,0.050788715,0.038815588,0.011973128
6,24,0.37376615,5,1.6591539,0.67303646,0.9861175
26,26,0.97979254,1,0.12517887,0.09969231,0.025486566
13,13,0.9999744,1,0.00032410392,0.0002660804,5.802352e-05
22,22,0.82147515,2,0.4834766,0.28260607,0.20087054
28,28,0.86055964,2,0.562264,0.40378803,0.158476
13,13,0.99338037,1,0.04350774,0.035276722,0.008231018
24,24,0.99781305,1,0.017148854,0.013301971,0.0038468828
28,28,0.9878376,1,0.09317946,0.0753064,0.017873056
25,26,0.6814982,3,1.0443919,0.4348479,0.609544
34,34,0.9643845,1,0.19734682,0.15114172,0.046205103
4,8,0.6933557,2,1.0514644,0.5656428,0.48582166
25,25,0.24144988,6,2.021604,1.1004649,0.9211391
24,24,0.99875015,1,0.010552865,0.008161145,0.0023917202
2,2,0.9955066,1,0.03774164,0.031317625,0.0064240135
4,4,0.9999698,1,0.0003893258,0.00034454497,4.478084e-05
2,2,0.9997805,1,0.0024208503,0.0020970122,0.0003238381
3,3,0.9982874,1,0.013783053,0.0111488085,0.002634244
25,32,0.34266174,3,1.9180149,1.5000726,0.4179423
24,24,0.9993002,1,0.0070338217,0.005653691,0.0013801306
2,2,0.9998755,1,0.0012977629,0.0010912733,0.00020648958
26,3,0.7893221,2,0.7216303,0.40728435,0.31434593
8,25,0.49656138,2,1.3923296,1.0407557,0.35157382
4,4,0.99999994,1,1.8696483e-06,1.7025383e-06,1.6710999e-07
6,6,0.99995273,1,0.00055838644,0.0004707533,8.763315e-05
26,26,0.99538785,1,0.033762354,0.028381351,0.005381003
6,6,0.94843596,1,0.25562215,0.1662188,0.089403346
19,19,0.7600296,2,0.5665088,0.13719544,0.4293134
4,4,0.96442527,1,0.17504813,0.12220647,0.052841656
24,24,0.99968815,1,0.0034523448,0.0029258665,0.0005264783
6,25,0.49632683,3,1.400396,0.53169096,0.86870503
20,32,0.437242,4,1.2271771,0.30369228,0.92348486
1,1,0.9999985,1,2.5759875e-05,2.324791e-05,2.5119643e-06
32,32,0.6341643,3,1.2039896,0.55724525,0.6467444
4,4,0.90824187,2,0.37515262,0.16455741,0.2105952
24,24,0.9999947,1,7.828787e-05,6.899914e-05,9.288728e-06
12,12,0.5339295,3,1.4550132,0.7511672,0.703846
1,1,0.64987564,3,1.4471756,0.88329136,0.56388426
6,6,0.9995222,1,0.004691184,0.003966113,0.00072507095
2,2,0.99983656,1,0.0018274141,0.0014980166,0.0003293975
28,28,0.9999777,1,0.00031701764,0.000281316,3.570164e-05
22,22,0.6389783,2,0.9971102,0.6690144,0.3280958
28,28,0.9999442,1,0.000721686,0.00062866684,9.301916e-05
4,4,0.99999505,1,6.9125505e-05,6.0472386e-05,8.653118e-06
13,13,0.9996916,1,0.002862558,0.00222169,0.000640868
28,28,0.24972777,6,2.0486846,1.0345328,1.0141518
1,1,0.9999961,1,6.130548e-05,5.3940377e-05,7.3651026e-06
2,2,0.9999196,1,0.0009933105,0.0008560458,0.00013726467
13,13,0.9997439,1,0.0028878069,0.0024958493,0.00039195758
2,24,0.6949364,2,0.8879748,0.50344336,0.38453144
24,24,0.99958056,1,0.003953742,0.0033704634,0.0005832785
24,24,0.99414885,1,0.037720054,0.028518628,0.009201426
26,26,0.70717347,2,0.83190966,0.6407382,0.19117147
24,29,0.43801066,4,1.3797476,0.86838496,0.5113627
2,2,0.9999818,1,0.00021885209,0.00018942656,2.942553e-05
13,13,0.9999656,1,0.0004467976,0.00038867124,5.8126374e-05
29,29,0.8522565,1,0.7506183,0.5629338,0.18768448
14,1,0.53982294,3,1.2290655,0.66716015,0.5619054
25,25,0.93854886,1,0.30073833,0.17236951,0.12836882
8,8,0.86372757,1,0.5218572,0.3976869,0.1241703
24,8,0.9776433,1,0.14360294,0.115630165,0.027972773
8,2,0.87466186,1,0.62692946,0.44259453,0.18433493
32,7,0.35505244,3,1.6283708,1.1541255,0.4742453
19,19,0.86785775,1,0.71592546,0.5296655,0.18625993
26,3,0.3741749,3,1.5977614,0.9024493,0.6953121
13,13,0.9998912,1,0.001166558,0.0010447046,0.00012185343
4,4,0.9333277,1,0.2839515,0.18497542,0.098976076
24,24,0.9999817,1,0.00025067068,0.00021917452,3.1496165e-05
3,29,0.38755754,3,1.6358483,0.9625026,0.6733457
24,24,0.99989855,1,0.0011793361,0.0010077872,0.00017154892
28,28,0.87522835,2,0.5246262,0.22566895,0.29895723
28,28,1.0,1,1.4381612e-06,1.3721609e-06,6.6000325e-08
32,32,0.99977046,1,0.002776544,0.0024288164,0.00034772768
1,1,0.980947,1,0.10521029,0.06826745,0.03694284
29,29,0.9998795,1,0.0014308108,0.0012142425,0.00021656824
6,6,0.9365899,2,0.2362751,0.07087238,0.16540273
25,10,0.56096596,2,1.4747181,1.1387453,0.3359728
30,30,0.9984812,1,0.013666583,0.011610287,0.002056296
25,25,0.950875,1,0.27779043,0.19917603,0.0786144
15,32,0.47976992,4,1.843087,1.4082386,0.4348483
8,6,0.35237697,5,1.8924572,1.1520627,0.7403946
28,28,0.8839699,1,0.5212497,0.38181937,0.13943034
25,25,0.6723272,3,0.942259,0.37237647,0.5698825
24,24,0.9999935,1,9.527027e-05,8.1682665e-05,1.35876035e-05
24,24,0.9000842,2,0.32494527,0.0010851377,0.32386014
25,25,0.7782541,2,0.53133243,0.30447274,0.22685969
2,2,0.996051,1,0.0335232,0.025478836,0.008044362
32,7,0.3870555,3,1.1559869,0.43095478,0.7250321
24,24,0.9999933,1,9.5915115e-05,8.3792664e-05,1.2122451e-05
11,11,0.799912,2,0.514306,0.2326508,0.2816552
2,2,0.9997243,1,0.0029435004,0.0024054032,0.0005380972
19,19,0.999992,1,0.000115271876,9.905597e-05,1.6215905e-05
4,4,0.9904606,1,0.07153061,0.056325156,0.015205454
24,24,0.9895857,1,0.083184294,0.06707214,0.016112156
32,32,0.8679142,1,0.4313216,0.28174123,0.14958036
25,25,0.9722485,1,0.14452592,0.10921868,0.035307236
2,2,0.9994089,1,0.005913829,0.004971545,0.0009422838
24,24,0.9999011,1,0.0012044852,0.0010245062,0.00017997902
8,24,0.9943329,1,0.04041499,0.030178312,0.010236677
1,1,0.9999935,1,9.5122065e-05,8.4096726e-05,1.1025339e-05
32,32,0.7916549,2,0.7376161,0.37964544,0.35797068
25,6,0.4522768,3,1.1510284,0.7217455,0.4292829
25,2,0.5650121,4,1.2271289,0.597089,0.6300399
24,24,0.99238586,1,0.0520616,0.039644375,0.012417223
1,1,0.999854,1,0.00153835,0.0012815667,0.00025678333
32,32,0.9968848,1,0.024042074,0.01900864,0.0050334334
2,2,1.0,1,5.274391e-07,5.0294426e-07,2.4494852e-08
37,19,0.8721544,1,0.40590703,0.30049977,0.10540727
13,13,0.980748,1,0.14314012,0.11884848,0.024291642
24,24,0.9999844,1,0.00020685824,0.00017597977,3.0878466e-05
6,25,0.5320595,2,0.745413,0.29817373,0.44723928
36,36,0.9727647,1,0.15994617,0.13480374,0.025142431
4,4,0.95270294,1,0.26506308,0.1890483,0.07601477
2,2,0.83494633,1,0.76889575,0.54100347,0.22789228
24,24,0.9999756,1,0.00031614036,0.0002735782,4.256217e-05
2,2,0.99885553,1,0.011436793,0.00913721,0.0022995826
2,2,0.9990894,1,0.008518587,0.0069456818,0.0015729051
32,19,0.99969715,1,0.0032586085,0.0027035477,0.0005550608
9,8,0.6617689,3,0.902599,0.32509655,0.5775024
28,28,0.9968212,1,0.028080745,0.02348616,0.004594585
31,31,0.5113265,3,1.6280601,1.1394012,0.4886589
12,6,0.44697687,2,2.0062282,1.6709356,0.33529258
2,2,0.99973816,1,0.002575913,0.0021650293,0.0004108837
19,19,0.76399744,2,0.67495805,0.30968302,0.36527503
36,24,0.40663823,4,1.7997322,1.2066563,0.5930759
13,13,0.9993229,1,0.0068929116,0.005760539,0.0011323728
2,2,0.94039375,1,0.34539866,0.26482412,0.08057454
26,26,0.58753103,2,0.68449473,0.32530206,0.35919267
24,24,0.9981777,1,0.014561895,0.011565031,0.0029968647
32,32,0.0871802,7,3.2270663,2.742416,0.48465037
13,24,0.5036959,3,1.1187218,0.51600516,0.6027167
23,23,0.85707426,1,0.62972724,0.44916153,0.18056571
13,13,0.996184,1,0.03181353,0.024609465,0.0072040632
24,24,0.9995019,1,0.004822987,0.0042549563,0.00056803087
25,25,0.5291179,2,0.8901276,0.54837763,0.34174997
25,25,0.98306507,1,0.11422923,0.077503696,0.036725536
32,25,0.3122172,5,2.4495113,1.7828758,0.6666355
24,24,0.9387854,1,0.2795172,0.15669592,0.12282129
29,29,0.99986887,1,0.0015435168,0.0013183818,0.00022513501
31,31,0.34093547,5,1.7887378,0.83755094,0.95118684
19,19,0.89452755,2,0.4492141,0.22097449,0.22823961
13,7,0.5577906,3,1.8038138,1.3190981,0.4847157
6,25,0.5033817,3,1.0177015,0.3137415,0.70396
25,6,0.6566421,4,1.1370695,0.71533805,0.4217314
3,19,0.7473649,2,0.820107,0.5324257,0.28768128
4,4,0.72785264,3,0.90713197,0.50618744,0.40094453
29,29,0.7853471,2,0.67293286,0.27967495,0.39325792
13,13,0.9970259,1,0.025525626,0.020337496,0.00518813
2,2,0.99997085,1,0.00036570997,0.00031438973,5.132024e-05
6,2,0.4217274,4,1.4802583,0.56796515,0.9122932
8,4,0.90764236,2,0.39162397,0.20437881,0.18724516
8,8,0.8749552,1,0.53340775,0.36847505,0.1649327
2,2,0.99768656,1,0.017622735,0.012651218,0.0049715172
2,2,0.89731246,2,0.4903796,0.21709439,0.2732852
2,2,0.9996376,1,0.0038187352,0.0031766351,0.0006421001
24,24,0.9975794,1,0.019079477,0.015091285,0.0039881915
13,13,0.99753493,1,0.020850582,0.015782,0.0050685816
25,2,0.96691066,1,0.19385575,0.13395639,0.05989936
13,13,0.9983101,1,0.014918267,0.01233668,0.002581587
4,4,0.9999903,1,0.00013067461,0.000115087816,1.5586797e-05
2,2,0.91362494,2,0.3000863,0.13077594,0.16931035
25,25,0.91478664,2,0.34875765,0.18910453,0.15965313
24,24,0.98452616,1,0.10447827,0.08840974,0.016068533
28,28,0.9999898,1,0.00014017033,0.000119443495,2.0726839e-05
6,6,0.8865885,1,0.5634994,0.36491442,0.19858497
1,2,0.2773284,5,2.2260473,1.4975599,0.7284874
32,13,0.47414097,2,1.2086114,0.7895307,0.41908067
28,28,0.9998127,1,0.002206954,0.001874299,0.00033265492
6,6,0.991922,1,0.05608397,0.038780294,0.017303675
24,24,0.9999348,1,0.0007503953,0.0006101624,0.0001402329
2,25,0.48732495,3,1.2927184,0.54855436,0.74416405
13,13,0.9998854,1,0.0012346308,0.0010407188,0.00019391207
26,26,0.8208764,1,0.7211745,0.5048405,0.21633399
4,4,0.9979332,1,0.014999714,0.011651519,0.003348195
4,4,0.694481,3,0.94013023,0.45071927,0.48941097
13,13,0.9850322,1,0.096805945,0.07046549,0.026340455
11,11,0.9887528,1,0.08247416,0.06543092,0.01704324
25,26,0.2556419,5,2.0583956,1.240668,0.81772757
4,24,0.64515096,3,1.110252,0.4885126,0.6217394
28,28,0.9559429,1,0.23490287,0.15250981,0.082393065
26,26,0.98800194,1,0.074294135,0.056310493,0.017983641
